Cust_id,target_flag,w1_IS_CALL_ACTIVE,w1_IS_SMS_ACTIVE,w1_IS_INTERNET_ACTIVE,w1_IS_VAS_ACTIVE,w1_IS_PRODUCT_ACTIVE,w1_IS_RECHARGE_ACTIVE,w1_TOTAL_REVENUE,w1_CALL_COUNT,w1_GPRS_VOLUME,w1_LOAN_COUNT,w1_TOTAL_TRAFFIC_REVENUE,w1_CALL_REVENUE,W1_U_SBSCRP_REV_T6,W1_U_VAS_REV_T6,w1U_IB_VC_CC_CNT_T6,W1_RECH_AMT,W1_U_VAS_LNRTRN_CNT_T6
146,0,7,7,7,2,2,0,18.5005,42,146747,1,5.0005,0,10,0,7,0,0
147,0,0,0,7,0,1,1,250,0,3311482,0,0,0,0,0,0,250,0
148,0,7,1,3,7,7,4,406.89,134,857069,1,37.8,29.95,349.12,34.97,7,370,1
149,0,6,5,7,3,7,1,72,31,3839918,0,2,0,70,0,7,216,0
150,0,6,0,7,1,0,1,59.7,16,1012592,1,56.2,56,0,18.5,6,300,1
151,0,4,7,7,0,1,1,570,12,124052,0,0,0,0,0,5,570,0
152,0,7,7,0,0,2,1,100.375,91,0,0,11.375,11.375,14,0,6,75,0
153,0,0,0,7,1,4,1,78.4525,0,5773357,1,4.9525,0,0,18.5,4,100,1
154,0,7,7,7,1,1,1,150,173,813129,0,0,0,0,0,7,150,3
155,0,1,0,5,0,1,1,18.0213,2,2701552,1,14.5113,13.75,160.01,18.5,2,180,2
156,0,4,7,0,2,1,0,21.775,23,0,0,7.275,2.875,14.5,0,6,0,0
157,0,6,0,0,6,6,1,94.57,28,0,1,76.1,76.1,0,33.47,5,50,3
158,0,4,0,7,7,7,1,47.35,18,1778243,0,6.85,4.45,30,29,2,250,1
159,0,7,3,1,7,7,2,88.5,76,1,0,3,3,75,10.5,7,135,0
160,0,7,7,3,4,2,2,97.925,118,983,1,19.425,17.375,75,18.5,4,130,2
161,0,2,6,7,3,4,2,211.5213,6,3058705,2,39.0213,22.75,24,20,6,190,4
162,0,5,1,7,1,1,2,230.125,15,905073,1,46.625,43.675,0,18.5,4,230,4
164,0,6,0,7,1,2,2,183.6655,12,8951254,0,13.6555,1.5,170.01,18.5,4,340,1
165,0,5,0,6,3,3,1,169.4654,16,1246562,0,0.8254,0,167.14,1.5,5,170,0
167,0,0,0,7,0,0,0,0,0,3541988,0,0,0,0,0,0,0,0
168,0,7,7,7,3,0,0,0,37,74582,0,0,0,0,0,7,0,3
169,0,1,1,7,4,3,2,83.6778,1,7148153,0,13.6778,3.125,0,0,3,170,0
170,0,7,0,2,1,2,1,101.55,107,9,0,5.05,5.05,0,1.5,7,95,3
171,0,6,0,4,3,3,2,172.025,24,998613,0,148.025,38.5,24,0,5,150,0
172,0,7,1,2,3,6,2,220.59,48,536902,0,167.35,34.6,53.24,0,6,200,0
173,0,3,7,7,2,4,1,402.225,7,104,1,32.725,3.025,13,3,7,350,3
174,0,5,5,1,5,4,2,120.575,27,188,3,58.075,45.375,52,37,7,100,3
175,0,0,4,7,0,6,3,469.8255,0,7559874,1,155.0555,0,306.5,37,5,400,3
176,0,7,1,7,1,0,0,0.2,55,1415605,0,0.2,0,0,0,7,0,3
177,0,2,0,4,5,4,1,183.703,2,1559642,1,15.203,4.65,165,18.5,3,200,4
178,0,7,0,5,0,1,1,95,110,33467,0,0,0,0,0,6,95,3
179,0,4,4,3,4,2,1,100.375,5,198161,1,42.875,9.625,54,18.5,6,100,4
180,0,7,0,0,0,0,0,0,35,0,0,0,0,0,0,7,0,0
181,0,4,0,5,0,1,1,20.52,12,141450,0,20.4,20.4,0.12,0,7,60,0
182,0,7,4,6,7,7,0,37.185,103,234476,0,0.325,0,18,18.86,7,0,0
183,0,0,0,7,1,0,0,0.4,0,2507781,0,0.4,0,0,0,0,0,0
185,0,5,1,5,4,0,2,90,16,5,1,86.5,66.8,0,18.5,5,100,1
186,0,3,6,3,1,1,0,18.4,4,641305,1,13.9,11.5,1,0,2,0,3
188,0,4,0,0,5,5,1,63.125,13,0,0,43.625,43.625,12,7.5,7,100,0
190,0,5,4,0,0,0,0,144.2,16,0,0,144.2,131.6,0,0,5,0,0
191,0,6,0,7,4,1,1,161.6,38,2065485,0,1.6,0,160,0,5,170,0
192,0,7,6,0,6,6,1,119.075,119,0,0,15.075,14.875,95,9,7,100,0
193,0,7,0,0,6,1,1,167.765,117,0,0,72.765,70.965,95,0,7,150,0
194,0,3,1,7,2,2,2,146.6258,9,3269874,0,26.6258,11.125,50,0,2,120,0
195,0,3,0,0,4,5,1,37.72,10,0,1,16.25,15.65,6,30.47,5,50,3
196,0,7,4,0,7,7,3,157.715,254,0,0,47.595,31.625,95.12,15,7,195,0
197,0,7,1,1,7,7,3,120.175,87,0,0,31.675,28.475,78,10.5,7,130,0
198,0,2,0,5,6,5,1,190,5,118784,1,4.5,3.5,176,24.5,6,200,3
199,0,5,0,6,5,5,2,101.125,73,16,2,48.625,44.325,38,44.5,7,100,4
200,0,7,6,3,1,0,0,0,40,24568,0,0,0,0,0,7,0,3
201,0,6,6,6,0,1,1,652.5,15,308083,0,52.5,52.5,0,0,6,600,0
202,0,6,0,0,6,6,3,140.04,30,0,3,70.35,63.75,50.19,64.5,6,150,5
203,0,1,0,7,6,5,1,109.325,1,1199340,0,3.325,2.325,100,6,3,120,0
204,0,7,2,7,0,0,0,4.4,77,305108,0,4.4,4.4,0,0,7,0,0
205,0,7,0,0,7,7,1,108.925,173,0,0,23.425,21.625,75,10.5,7,120,0
206,0,7,7,7,3,1,1,352.5203,32,592061,0,2.5203,1.5,0,0,5,350,3
207,0,5,0,7,7,7,0,106.475,47,772257,1,27.475,25.675,65,10.5,7,0,2
208,0,7,0,3,7,7,2,144.63,26,3275,1,120.63,116.79,10,47.5,7,200,4
210,0,6,0,4,7,7,3,193.02,50,6324105,1,18.35,6.25,151.12,38.55,5,200,1
211,0,3,1,7,7,7,3,103.1,4,760899,2,25.6,9.5,60,66,6,140,4
212,0,7,0,2,7,7,4,268.115,171,955,3,90.115,75.375,157,66,7,265,4
213,0,6,0,1,7,7,1,78.675,41,49484,0,30.175,29.325,38,10.5,6,30,0
214,0,3,0,4,3,3,0,47.475,39,4205,1,11.475,11.475,28,4.5,7,0,3
